GRIDCODE	CVENTMUN	Fter
647438	08037	0.00771189
647439	08037	0.003779278
648496	08037	0.038906512
648497	08037	0.112863904
648506	08028	0.319486332
648507	08028	0.378723693
649563	08037	0.019939266
649564	08028	0.129330134
649564	08037	0.064570647
649565	08028	0.172459841
650622	08037	0.097770848
651680	08037	0.032037657
651681	08037	0.068052338
652739	08037	0.099274185
653797	08037	0.080188994
653798	08037	0.046662271
654856	08037	0.092895572
655914	08037	0.054760672
655915	08037	0.038138294
656973	08037	0.103348883
658032	08037	0.03909879
